"source"	"target"	"weight"	"dia"	"x"	"y"	"xend"	"yend"
"1"	"AD"	"ES"	1	2020-10-07	1.601554	42.546245	-3.74922	40.463667
"2"	"AE"	"AT"	1	2020-10-07	53.847818	23.424076	14.550072	47.516231
"3"	"AE"	"AU"	5	2020-10-07	53.847818	23.424076	133.775136	-25.274398
"4"	"AE"	"BR"	1	2020-10-07	53.847818	23.424076	-51.92528	-14.235004
"5"	"AE"	"CA"	5	2020-10-07	53.847818	23.424076	-106.346771	56.130366
"6"	"AE"	"DK"	1	2020-10-07	53.847818	23.424076	9.501785	56.26392
"7"	"AE"	"EG"	2	2020-10-07	53.847818	23.424076	30.802498	26.820553
"8"	"AE"	"FR"	3	2020-10-07	53.847818	23.424076	2.213749	46.227638
"9"	"AE"	"GB"	13	2020-10-07	53.847818	23.424076	-3.435973	55.378051
"10"	"AE"	"HK"	3	2020-10-07	53.847818	23.424076	114.109497	22.396428
"11"	"AE"	"IN"	4	2020-10-07	53.847818	23.424076	78.96288	20.593684
"12"	"AE"	"IR"	1	2020-10-07	53.847818	23.424076	53.688046	32.427908
"13"	"AE"	"IT"	7	2020-10-07	53.847818	23.424076	12.56738	41.87194
"14"	"AE"	"JM"	1	2020-10-07	53.847818	23.424076	-77.297508	18.109581
"15"	"AE"	"JO"	5	2020-10-07	53.847818	23.424076	36.238414	30.585164
"16"	"AE"	"KZ"	1	2020-10-07	53.847818	23.424076	66.923684	48.019573
"17"	"AE"	"LB"	2	2020-10-07	53.847818	23.424076	35.862285	33.854721
"18"	"AE"	"LU"	1	2020-10-07	53.847818	23.424076	6.129583	49.815273
"19"	"AE"	"MA"	2	2020-10-07	53.847818	23.424076	-7.09262	31.791702
"20"	"AE"	"NG"	1	2020-10-07	53.847818	23.424076	8.675277	9.081999
"21"	"AE"	"OM"	2	2020-10-07	53.847818	23.424076	55.923255	21.512583
"22"	"AE"	"PH"	1	2020-10-07	53.847818	23.424076	121.774017	12.879721
"23"	"AE"	"PK"	3	2020-10-07	53.847818	23.424076	69.345116	30.375321
"24"	"AE"	"PS"	1	2020-10-07	53.847818	23.424076	35.233154	31.952162
